Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,-10.1194841059326,22.0201902696299,2.34567163632688,-2.14821228495553,7.38337728197978,1.13248505528998,11.6923032922081,1.6772791560615,17.0438963216074,11.0550305527288,-3.21329500579925,8.27936899310519,2.0520682606117,-0.939984755736006,-1.66505744749013
Afghanistan,AFG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,..,..,..,..,..,..,..,..,..,0.000848873,0.000901471,0.00196664,0.00192977,0.00188803,0.00364085,0.00530334,..,0.00490837,0.00474343,0.00457421,0.0208887
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0,0,0,0,0,0.116942,0.879776,2.54662,4.91711,9.9133,18.0167,29.8268,38.2289,36.1187,47.0152,50.1967,53.149,56.1322,58.256
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,0.00472257,0.0045614,0.0878913,0.105809,1.22415,2.10712,1.9,1.84,3.55,4,5,5.45455,5.9,7,8.26
Afghanistan,AFG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,23.0545196533203,..,..,..,..,..,14.0404100418091,..,13.959529876709,19.2143802642822,20.2735099792481,29.523889541626,28.8154907226562,38.930850982666,44.2999496459961,50.4406204223633,52.4474296569824,54.372859954834,54.8833694458008,54.2936515808105,53.1501083374023
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,4.89368011973163,4.00540467357125,3.80450803445817,3.7646866376293,3.72811603964771,1.21217597601851,0.762004896898895,5.25202958527833,6.14519400188515,3.57583485398158,3.51921696042587,4.09270201656348,1.8925975396006,2.18654618162979,3.64638090813246,2.93468670173474,3.69150308391849,4.04786256315645,3.41822667584596,3.63251884652008,3.11995924146907
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,21.624,21.714,21.805,21.895,21.986,22.078,22.169,22.261,22.353,22.5,22.703,22.907,23.113,23.32,23.528,23.737,23.948,24.16,24.373,24.587,24.803
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,..,-1.78807544708252,..,-1.73488676548004,..,-1.78066074848175,..,-1.67347323894501,-1.5582937002182,-1.6939252614975,-1.66296553611755,-1.87900483608246,-1.85256004333496,-1.90330755710602,-1.87611877918243,-1.87005805969238,-1.9225001335144,-1.6518931388855,-1.60975515842438,-1.4377019405365,-1.51620066165924
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,..,..,..,0.00482760061734038,0.0241685679088889,1.30694987042884,1.27849325196424,3.577104200584,4.36867310434287,3.41377297323201,1.93570171391636,0.45536044478174,0.45188914562189,1.20311798981139,0.293025179616803,0.285440893554571,0.239801184405551,0.209664794672203,0.88400046336123
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,6.78459655001656,8.68057078513405,26.4186641547444,-6.81116108898994,2.17853752389419,11.8041858089129,6.44121280934116,7.38577178397856,4.67399603536345,-0.661709164713771
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,14.0244959350984,8.00551384353483,-11.1576605254893,8.99380682261059,12.9639268824224,8.14996793452505,9.89019357107392,4.94262296313663,5.72810598121802,5.70712308403314,5.67025027957055,6.68998139667232,7.30798262922809,7.73056161381389,3.38511539501225,3.48564808644622,2.73953255678821,1.15104401333457,1.89373834041304,2.45213157165934,2.52583093525412
Albania,ALB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,..,..,..,..,..,..,..,..,..,..,0.0088422,..,0.33081,2.13837,3.10656,3.60359,4.40357,5.5013,6.27864,7.16191,8.37878
Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0.070307774,0.101422403,0.173257946,0.343114336,0.940923,12.4732,27.153,35.278,40.6495,49.7453,62.6026,76.8284,62.1342,83.1929,91.9299,106.474,120.275,126.772,115.701,117.33
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0112,0.0322,0.0486,0.065,0.0814,0.114097,0.325798,0.390081,0.9719,2.42039,6.04389,9.60999,15.0361,23.86,41.2,45,47,49.4,51.8,54.3,56.9
Albania,ALB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,16.4271239839877,21.1475152669262,19.7587807672594,22.7895725962923,24.2715109633495,34.0401392244169,38.2280453184166,38.5753358181086,36.7221284326025,36.3319472329288,38.3843892451909,37.3389564722485,35.6688758642439,33.3056707670518,32.4404588015772,32.4926226328977,33.8376091539876,29.7150278852687,29.0566378899977,28.3047822758213,27.8134648405134
